state,week_start,weekly_cases,pop2019,LandArea,Percentage_over_65,infection_rate,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,population_density,government_response_index,containment_index,economic_support_index,stringency_index
Rhode Island,2020-11-15T00:00:00Z,318844,1091967,1034,0.168,29199.050887068934,-17.047619047619047,32.0625,-46.43333333333333,1056.0609284332688,71.05428571428571,68.7057142857143,87.5,65.20714285714286
Rhode Island,2020-11-22T00:00:00Z,362540,1091967,1034,0.168,33200.63701558747,-24.761904761904763,21.08823529411765,-50.392857142857146,1056.0609284332688,70.83,68.45,87.5,64.81
Rhode Island,2020-11-29T00:00:00Z,412584,1091967,1034,0.168,37783.559393278374,-23.785714285714285,14.264705882352942,-52.96666666666667,1056.0609284332688,73.95857142857143,72.02428571428572,87.5,70.37285714285714
Rhode Island,2020-12-06T00:00:00Z,474204,1091967,1034,0.168,43426.58706719159,-21.214285714285715,12,-54.46666666666667,1056.0609284332688,74.48,72.62,87.5,71.3
Rhode Island,2020-12-13T00:00:00Z,529249,1091967,1034,0.168,48467.49031793085,-22.976190476190474,2.8285714285714287,-57,1056.0609284332688,75.55142857142857,73.84571428571428,87.5,71.3
Rhode Island,2020-12-20T00:00:00Z,567494,1091967,1034,0.168,51969.885536833994,-21.19047619047619,-0.8571428571428571,-52.925925925925924,1056.0609284332688,73.04714285714286,70.99000000000001,87.5,66.53428571428572
Rhode Island,2020-12-27T00:00:00Z,606253,1091967,1034,0.168,55519.35177528259,-14.333333333333334,22.666666666666668,-50.04761904761905,1056.0609284332688,72.6,70.48,87.5,65.74
South Carolina,2020-01-26T00:00:00Z,0,5081200,30061,0.172,0,NA,NA,NA,169.0296397325438,8.112857142857143,9.268571428571429,0,5.1571428571428575
South Carolina,2020-02-02T00:00:00Z,0,5081200,30061,0.172,0,NA,NA,NA,169.0296397325438,9.9,11.31,0,8.33
South Carolina,2020-02-09T00:00:00Z,0,5081200,30061,0.172,0,4.5227272727272725,27.444444444444443,5.48,169.0296397325438,12.128571428571428,13.860000000000001,0,12.301428571428572
South Carolina,2020-02-16T00:00:00Z,0,5081200,30061,0.172,0,0.4477124183006536,-1.6333333333333333,5.472222222222222,169.0296397325438,13.02,14.88,0,13.89
South Carolina,2020-02-23T00:00:00Z,0,5081200,30061,0.172,0,10.411764705882353,11.504347826086956,8.793296089385475,169.0296397325438,14.808571428571428,16.92,0,17.06142857142857
South Carolina,2020-03-01T00:00:00Z,2,5081200,30061,0.172,0.03936078091789341,11.62171052631579,14.516949152542374,11.05056179775281,169.0296397325438,16.15,18.45,0,19.44
South Carolina,2020-03-08T00:00:00Z,56,5081200,30061,0.172,1.1021018657010155,10.859477124183007,47.648148148148145,12.0561797752809,169.0296397325438,20.018571428571427,21.852857142857143,7.142857142857143,21.557142857142857
South Carolina,2020-03-15T00:00:00Z,536,5081200,30061,0.172,10.548689285995435,-11.09032258064516,24.831858407079647,-0.27932960893854747,169.0296397325438,46.651428571428575,47.19714285714286,42.857142857142854,53.04142857142857
South Carolina,2020-03-22T00:00:00Z,2886,5081200,30061,0.172,56.79760686452019,-30.35238095238095,-3.1416666666666666,-21.048128342245988,169.0296397325438,54.53857142857143,53.65571428571429,60.714285714285715,63.09571428571429
South Carolina,2020-03-29T00:00:00Z,9246,5081200,30061,0.172,181.96489018342123,-28.294871794871796,-12.560975609756097,-27.29100529100529,169.0296397325438,62.20428571428571,58.58571428571429,87.5,70.37285714285714
South Carolina,2020-04-05T00:00:00Z,18186,5081200,30061,0.172,357.9075808864048,-35.84331797235023,-17.872,-32.97409326424871,169.0296397325438,69.19571428571429,66.58,87.5,80.42285714285714
South Carolina,2020-04-12T00:00:00Z,26198,5081200,30061,0.172,515.5868692434858,-30.74384236453202,-20.49230769230769,-30.81382978723404,169.0296397325438,69.79,67.26,87.5,81.48
South Carolina,2020-04-19T00:00:00Z,33263,5081200,30061,0.172,654.6288278359443,-26.663414634146342,-17.930232558139537,-26.275675675675675,169.0296397325438,68.00714285714285,65.22,87.5,78.30857142857143
South Carolina,2020-04-26T00:00:00Z,41570,5081200,30061,0.172,818.1138313784146,-16.50990099009901,5,-17.494505494505493,169.0296397325438,68.30428571428571,65.56,87.5,76.19142857142857
South Carolina,2020-05-03T00:00:00Z,49200,5081200,30061,0.172,968.2752105801779,-11.135,16.42982456140351,-12.510989010989011,169.0296397325438,64.58,61.31,87.5,68.52
South Carolina,2020-05-10T00:00:00Z,56659,5081200,30061,0.172,1115.0712430134613,-8.948598130841122,34.24038461538461,-7.841530054644808,169.0296397325438,66.36857142857143,64.36999999999999,80.35714285714286,68.52
South Carolina,2020-05-17T00:00:00Z,64903,5081200,30061,0.172,1277.316381957018,-6.495689655172414,24.805309734513273,-1.8314606741573034,169.0296397325438,64.58,64.88,62.5,68.52
